Artist,Sex
Valentina Monetta & Jimmie Wilson,group
Jacques Houdek,male
JOWST,male
Jowst,male
Timebelle,group
Naviband,group
Kristian Kostov,male
Fusedmarc,group
Koit Toome & Laura,group
Imri,male
The Humans,group
Sanja Ilić & Balkanika,group
Jessika feat. Jenifer Brening,group
Rasmussen,male
Julia Samoylova,female
DoReDoS,group
Waylon,male
Jessica Mauboy,female
Ethno-Jazz Band Iriao,group
Gromee feat. Lukas Meijer,group
Christabelle,female
AWS,group
Laura Rizzotto,female
Benjamin Ingrosso,male
Vanja Radovanović,male
Lea Sirk,female
Mélovin,male
Srbuk,female
Sarah McTernan,female
Anna Odobescu,female
Luca Hänni,male
Carousel,group
Ester Peony,female
Leonora,female
John Lundvik,male
PÆNDA,female
Roko,male
Michela,female
Jurij Veklenko,male
Jonida Maliqi,female
KEiiNO,group
Duncan Laurence,male
Tamara Todevska,female
Chingiz,male
Senhit,female
Uku Suviste,male
Benny Cristo,male
Stefania,female
Vincent Bueno,male
Rafał,male
Natalia Gordienko,female
Daði og Gagnamagnið,male
Hurricane,group
Tornike Kipiani,male
Anxhela Peristeri,female
The Black Mamba,group
Victoria,female
Blind Channel,group
Samanta Tīna,female
Gjon's Tears,male
Fyr & Flamme,group
Ramón,male
Tie Break,group
Knut Anders Sørum,male
Jonatan Cerrada,male
Max Mutzke,male
Xandee,female
Julia Savicheva,female
Jónsi,male
Chris Doran,male
Blue Café,group
James Fox,male
Athena,group
Sanda,female
Lena Philipsson,female
Javine,female
Gülseren,female
Ledina Çelo,female
Son de Sol,group
No Name,group
Martin Stenmarck,male
GreenJolly,group
Gracia,female
Helena Paparizou,female
Natalia Podolskaya,female
Ortal,female
six4one,group
Arsenium feat. Natalia Gordienko & Connect-R,group
Eddie Butler,male
Vocal Group Cosmos,group
Christine Guldbrandsen,female
Las Ketchup,group
Texas Lightning,group
Sidsel Ben Semmane,female
Mihai Trăistariu,male
Daz Sampson,male
Virginie Pouchain,female
Severina,female
Marija Šestić,female
D'NASH,group
Dervish,group
Hanna Pakarinen,female
4Fun,group
Sarbel,male
The Ark,group
Les Fatals Picards,group
Serebro,group
Roger Cicero,male
Verka Serduchka,male
Scooch,group
Todomondo,group
Hayko,male
Andy Abraham,male
No Angels,group
Sébastien Tellier,male
Rodolfo Chikilicuatre,male
Jelena Tomašević feat. Bora Dugić,group
Patricia Kaas,female
Anastasia Prikhodko,female
Alex Swings Oscar Sings!,group
Jade Ewen,female
Soraya Arnelas,female
Daniel Diges,male
Didrik Solli-Tangen,male
Josh Dubovie,male
Jessy Matador,male
Lena,female
Amaury Vassili,male
Raphael Gualazzi,male
Blue,group
Lucía Pérez,female
Engelbert Humperdinck,male
Anggun,female
Nina Zilli,female
Sabina Babayeva,female
Pastora Soler,female
Roman Lob,male
Amandine Bourgeois,female
ESDM,group
Cascada,female
Bonnie Tyler,female
Robin Stjernberg,male
Marco Mengoni,male
Elaiza,group
Twin Twin,group
Ruth Lorenzo,female
Basim,male
Molly,female
Lisa Angell,female
Electro Velvet,group
Guy Sebastian,male
The Makemakes,group
Ann Sophie,female
Edurne,female
Il Volo,group
Francesca Michielin,female
Frans,male
Jamie-Lee,female
Amir,male
Barei,female
Joe & Jake,group
Francesco Gabbani,male
Manel Navarro,male
Lucie Jones,female
Levina,female
O.Torvald,group
Alma,female
Amaia & Alfred,group
Cláudia Pascoal,female
SuRie,female
Michael Schulte,male
Madame Monsieur,group
Ermal Meta & Fabrizio Moro,group
S!sters,group
Kobi Marimi,male
Michael Rice,male
Bilal Hassani,female
Mahmood,male
Miki,male
James Newman,male
Blas Cantó,male
Jendrik,male
Barbara Pravi,female
Jeangu Macrooy,male
Måneskin,group
